location,numRuns,meanVal,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,thisWplant,runoffRatio,initialSoilMoisture,effectiveIrrigationRatio,recentHistoricSlope,rescaledRecentHistoricSlope,rechScalar
,,,,,,,,,,,,
1,1,-124.246640282015,0.103828543375557,0.179078014184397,0.109929078014184,620.393004581708,0.08,120,0.85,-12.4199758568261,-112.98171585887,1
2,1,-150.34736715033,0.105719708510012,0.198025233132199,0.123971475589687,619.965077794058,0.08,120,0.85,-12.4366558722511,-100.318688739442,1
2,2,-140.310967229896,0.106298307052562,0.195030170049369,0.121161546900713,613.765427016117,0.0792,120.6,0.852125,-12.4366558722511,-102.645238447166,1.05
3,1,-80.9367690657905,0.099441842203378,0.154382104877155,0.097543087642098,620.48009902285,0.08,120,0.85,-12.3457253358346,-126.566890942935,1
4,1,-152.428087842191,0.0969648888580482,0.222849695916595,0.155082536924414,620.48009902285,0.08,120,0.85,-12.3110498819307,-79.3838566616369,1
4,2,-144.342788595809,0.0974997133023384,0.219792571676804,0.152194830582103,614.275298032622,0.0792,120.6,0.852125,-12.3110498819307,-80.8900659427416,1.05
4,3,-136.178691316483,0.0980372118688501,0.216743090247612,0.149314343505648,608.132545052295,0.078408,121.203,0.8542553125,-12.3110498819307,-82.4505509175349,1.1025
4,4,-127.928329620649,0.0985773979281944,0.213701232521993,0.146441057646884,602.051219601772,0.07762392,121.809015,0.85639095078125,-12.3110498819307,-84.0682939590384,1.157625
4,5,-119.583699317952,0.0991202849178353,0.210666979440688,0.143574955002766,596.030707405755,0.0768476808,122.418060075,0.858531928158203,-12.3110498819307,-85.7465000194044,1.21550625
5,1,-167.413721630053,0.105491639813368,0.24625468164794,0.139513108614232,620.073635951927,0.08,120,0.85,-12.445156314929,-89.2042076801624,1
5,2,-158.324658277847,0.106069098012434,0.24313904494382,0.136664325842696,613.872899592408,0.0792,120.6,0.852125,-12.445156314929,-91.0636791144285,1.05
5,3,-149.107028686934,0.106649443502497,0.240031197331461,0.13382266502809,607.734170596484,0.078408,121.203,0.8542553125,-12.445156314929,-92.9973731453991,1.1025
5,4,-139.749364036525,0.107232690720009,0.236931119338132,0.130988108365519,601.656828890519,0.07762392,121.809015,0.85639095078125,-12.445156314929,-95.0098178393497,1.157625
5,5,-130.239262975745,0.107818854173609,0.233838791539787,0.128160638094606,595.640260601614,0.0768476808,122.418060075,0.858531928158203,-12.445156314929,-97.1059172297678,1.21550625
6,1,79.4727294539362,0.106751111102681,0.106929510155317,0.055555555555556,620.557152495063,0.08,120,0.85,-12.4395094573022,-223.911170231438,1
6,2,-22.3249492311857,0.0888871777707383,0.112196833930705,0.0606944444444449,626.762724020014,0.092,117,0.84575,-12.4395094573022,-204.953016230149,0.95
6,3,-99.8918462332729,0.0739707934385664,0.117477326015532,0.065846180555556,633.030351260214,0.1043,114.075,0.84152125,-12.4395094573022,-188.917707182829,0.9025
6,4,-159.974015366706,0.061515612521203,0.122771019330571,0.0710107960069449,639.360654772816,0.1169075,111.223125,0.83731364375,-12.4395094573022,-175.177721653558,0.857375
7,1,-214.658428603315,0.10145445982164,0.296780214652356,0.244517032197853,620.439562014472,0.08,120,0.85,-12.3130290357745,-50.3565290527954,1
