HYBAS_ID,FID,non_cropla,irr_cropla,no_irr_cro,ACOF,BEAN,CNUT,COWP,MAIZ,OILP,ORTS,PMIL,RCOF,SESA,SOYB,SUNF,TEMF,VEGE,BANA,CASS,COCO,GROU,OCER,OOIL,PIGE,POTA,REST,SMIL,SUGB,SWPO,TOBA,WHEA,BARL,CHIC,COTT,LENT,OFIB,OPUL,PLNT,RAPESEED,RICE,SORG,SUGC,TEAS,TROF,YAMS,totMapspam,waterUse_nonIrr,waterUse_irr,growDaysAvg,SUB_AREA,UP_AREA,pre_mm_syr,pre_mm_uyr,pet_mm_syr,pet_mm_uyr,ari_ix_sav,ari_ix_uav,swc_pc_syr,swc_pc_uyr,crp_pc_sse,crp_pc_use,ire_pc_sse,ire_pc_use,X,Y,Location,currentPrecip_avg,currentPrecip_var,trendLow_Precip_avg,trendMed_Precip_avg,trendHigh_Precip_avg,trendLow_Precip_var,trendMed_Precip_var,trendHigh_Precip_var,currentPET_avg,currentPET_var,trendLow_PET_avg,trendMed_PET_avg,trendHigh_PET_avg,currentStreamflow_avg,currentStreamflow_var,trendLow_Streamflow_avg,trendMed_Streamflow_avg,trendHigh_Streamflow_avg,currentAridityIndex_A,currentDeficit_A,currentRatio_A,trendLow_Deficit_A,trendMed_Deficit_A,trendHigh_Deficit_A,currentAridityIndex_B,currentDeficit_B,currentRatio_B,trendLow_Deficit_B,trendMed_Deficit_B,trendHigh_Deficit_B,currentDeficit_C,currentRatio_C,trendLow_Deficit_C,trendMed_Deficit_C,trendHigh_Deficit_C,currentDeficit_D,currentRatio_D,trendLow_Deficit_D,trendMed_Deficit_D,trendHigh_Deficit_D,recentHistoricSlope,rescaledRecentHistoricSlope,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,initialSoilMoisture,thisWplant,runoffRatio,rechScalar,effectiveIrrigationRatio
6120888680,417890,0.820921985815603,0.109929078014184,0.069148936170213,0,0,0,0,0,0,0,0,0,0,0,0,10.0780226787575,0.032766441954671,0,0,0,0,0,0,0,0,0.024318556557547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1351076772697,620.393004581708,620.393004581708,212.101193955361,35,382.2,223,240,1522,1485,15,16,12,14,7,8,22,8,-68.242647138064,-33.3333986620369,1,223,169.940546275979,-1.57329026828873,-3.40206891978205,,,,,1522,908.933967319896,,18.4800274233385,29.620167398462,0.605368815974208,0.325628790790246,,-0.0235849174734792,-0.0217975168326347,0.146597128947484,-326.440355070889,0.306751906695329,-2.41380059326012,-8.2410363866972,-9.44569963549542,0.05652768144342,-362.810420607187,0.229437235419667,-1.9502228399931,-7.72437838310113,-9.28985616430451,-107.920975928939,0.771300209124268,,-18.9277202057012,-15.9772564193751,-222.488861816991,-222.488861816991,,-13.3092624845033,-15.4397665036234,-12.4199758568261,-112.98171585887,0.103828543375557,0.109929078014184,0.109929078014184,120,620.393004581708,0.08,1,0.85
6121324460,417896,0.8019747668678,0.123971475589687,0.074053757542512,0,0,0,0,0,0,0,0,0,0,0,0,15.2420330707794,0.062620101384545,0,0,0,0,0,0,0,0,0.011485843339225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3161390155032,619.965077794058,619.965077794058,212.059927962871,125.2,378.6,219,211,1527,1521,14,14,12,12,6,16,22,36,-68.1096743952912,-33.2390235779588,2,219,171.257501230889,-1.73632080907426,-3.09404834877313,,,,,1527,902.18151675394,,18.1733817408088,28.4255115551554,0.600405973702545,0.314622444666359,,-0.0233883702956033,-0.0211528885825122,0.143494684554089,-324.847727037846,0.304675368455254,-2.476743226705,-7.88780870106606,-8.89400690595236,0.0528357228095574,-361.675249202608,0.225769792210419,-2.06966314641276,-7.3922232470302,-8.68732128039009,-126.371288125273,0.729948287753521,,-17.380311217932,-15.0731051694307,-233.842194758649,-233.842194758649,,-12.8323778123965,-14.2256658274552,-12.4366558722511,-102.645238447166,0.106298307052562,0.121161546900713,0.121161546900713,120.6,613.765427016117,0.0792,1.05,0.852125
6120887800,417897,0.845617895122846,0.097543087642098,0.056839017235057,0,0,0,0,0,0,0,0,0,0,0,0,49.0108018562592,0.197899757379111,0,0,0,0,0,0,0,0,0.145321404548939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.3540230181872,620.48009902285,620.48009902285,212.006253244282,192,192,237,237,1489,1489,16,16,14,14,8,8,7,7,-68.4226017030204,-33.3733345554157,3,237,175.848189202527,,-4.08604390248739,,,,,1489,896.469872835565,,18.2351885207671,29.8335041497662,0.621762933337392,0.332541416852997,,-0.0255387326352076,-0.0216424847505903,0.159253653301071,-307.631169723867,0.332600746302497,-2.47175329886107,-8.43742601567107,-10.1843975473476,0.0644518270824657,-344.970306179878,0.251511525397625,-1.69431959294479,-7.85201450559957,-9.93042757610941,-62.3551027912294,0.865284402214093,,-20.067064551364,-17.7805516534566,-184.940916917904,-184.940916917904,,-14.6703889476411,-16.5989701403656,-12.3457253358346,-126.566890942935,0.099441842203378,0.097543087642098,0.097543087642098,120,620.48009902285,0.08,1,0.85
6120887740,417898,0.777150304083406,0.155082536924414,0.067767158992181,0,0,0,0,0,0,0,0,0,0,0,0,49.0108018562592,0.197899757379111,0,0,0,0,0,0,0,0,0.145321404548939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.3540230181872,620.48009902285,620.48009902285,212.006253244282,155.3,155.3,247,247,1471,1471,17,17,14,14,8,8,6,6,-68.4942899771373,-33.3810582268092,4,247,181.661191561663,,-4.21765295293295,,,,,1471,887.635965506297,,17.9410496236206,29.8417316539621,0.635385582156548,0.338077028932377,,-0.0262318751374376,-0.0216552032368843,0.168004001530082,-279.066415464534,0.362147075678972,-2.45531576457565,-8.26981386047027,-9.90186819697936,0.0690784725308446,-317.247693361746,0.274785070639,-1.58563487816671,-7.63687591614915,-9.72893697885358,-106.139045233652,0.757831534688256,,-16.6276224003048,-15.9577318130528,-203.271275407305,-203.271275407305,,-13.2449363475403,-14.1819381078852,-12.3110498819307,-85.7465000194044,0.0991202849178353,0.143574955002766,0.143574955002766,122.418060075,596.030707405755,0.0768476808,1.21550625,0.858531928158203
6121324570,417902,0.75374531835206,0.139513108614232,0.106741573033708,0,0,0,0,0,0,0,0,0,0,0,0,16.6849960424147,0.066933457261261,0,0,0,0,0,0,0,0,0.020036438006834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7719659376828,620.073635951927,620.073635951927,212.057429490777,143.4,14705,217,364,1523,1168,14,36,12,33,11,3,26,7,-68.198439926825,-33.2690203609092,5,217,167.558133086436,-1.862686707299,-3.23176919770275,,,,,1523,903.676823932578,,18.4421402713243,29.3109492680504,0.615057689115415,0.325329568410264,,-0.0241752300565628,-0.0218169221755052,0.142558759324219,-312.898017654721,0.308257877298147,-2.46958178056082,-7.84114935434408,-8.92664894558018,0.0537298262968089,-348.471325780673,0.229535345663214,-2.03269709157894,-7.34776558680629,-8.70162262806951,-114.825182262154,0.746609810379765,,-17.5632983250273,-14.7820822225993,-220.785346213333,-220.785346213333,,-12.6018893001617,-14.3401181964656,-12.445156314929,-97.1059172297678,0.107818854173609,0.128160638094606,0.128160638094606,122.418060075,595.640260601614,0.0768476808,1.21550625,0.858531928158203
6121324230,417906,0.893070489844683,0.055555555555556,0.051373954599761,0,0,0,0,0,0,0,0,0,0,0,0,22.2089494495007,0.04833261841824,0,0,0,0,0,0,0,0,0.064049097499398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3213311654184,620.557152495063,620.557152495063,212.197381075983,113.4,253.3,213,207,1524,1518,14,14,12,11,9,21,25,44,-68.1632934649528,-33.1947634160858,6,213,166.399665853041,-1.81574172363553,-3.10527096084526,,,,,1524,898.059001886852,,18.2186055499947,28.7265155170796,0.616356900658127,0.317815879504368,,-0.0245818326993722,-0.0215595168507737,0.139838246387309,-349.329366860152,0.280845269994919,-2.56445941593944,-8.14633373181241,-9.3285666950475,0.0516681604687223,-384.363990086242,0.208651464347118,-2.13037226843903,-7.62725197389098,-9.11642333310856,-134.911528424283,0.722719750663054,-2.45067150428336,-19.4093676934807,-16.4871588629152,-239.040919541388,-239.040919541388,,-15.1382191823121,-16.0756581248637,-12.4395094573022,-175.177721653558,0.061515612521203,0.0710107960069449,0.0710107960069449,111.223125,639.360654772816,0.1169075,0.857375,0.83731364375
6120887270,417913,0.703219785347644,0.244517032197853,0.052263182454503,0,0,0,0,0,0,0,0,0,0,0,0,57.1539405701368,0.21212358046012,0,0,0,0,0,0,0,0,0.155278080536084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.521342231133,620.439562014472,620.439562014472,212.046149213108,146.8,146.9,228,228,1492,1492,15,15,13,13,18,18,12,12,-68.4789568843053,-33.3056478277627,7,228,169.768923369076,,-3.80125184929982,,,,,1492,893.729650111586,,18.0978921672128,29.911504439229,0.660012784838547,0.342003392030897,,-0.0271288766772569,-0.0223696363052207,0.152897679966632,-242.79518542089,0.357285109632937,-2.11931682851063,-7.03528193660731,-8.45295709961619,0.0617115604522736,-275.806155839052,0.26980891397487,-1.53824360471875,-6.52007411277081,-8.31935946916576,-78.9448050011369,0.791486676437239,,-15.2311049146009,-14.101337370004,-167.416400959595,-167.416400959595,,-11.0107133937842,-12.6090172123515,-12.3130290357745,-67.0107356678688,0.113145539714666,0.183747110266072,0.183747110266072,132.587469262407,507.461822131424,0.0654325550077785,2.65329770514442,0.893524677789177
6120887190,417914,0.43928035982009,0.460269865067466,0.100449775112444,0,0,0,0,0.011368247635524,0,0,0,0,0,0,0,86.3227338678391,0.311690342027182,0,0,0,0,0,0,0,0,0.250577692465865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.8963701499677,620.488261600757,620.488261600757,212.040506640642,89.8,14415,207,367,1512,1161,14,37,12,33,58,3,63,6,-68.4186281053408,-33.2120150237135,8,207,157.030469064979,-1.52325886242579,-3.40203409698707,,,,,1512,896.667949409488,,18.241800746873,30.075968686181,0.665143130784785,0.336806224907078,,-0.0274892977664031,,0.136978448044177,-261.145586802728,0.31770169080235,-1.9977626008698,-6.81109450438271,-8.23272171366589,0.0536210716236602,-291.380400053108,0.238628774591281,-1.63043244160474,-6.34962110461913,-7.99586250577684,-175.936799376779,0.540558783444261,,-11.2938954089226,-9.88123262639151,-233.426697502811,-233.426697502811,,-9.09578084627709,-10.6366258357712,-12.3456043536822,-31.7396519080943,0.118977625003713,0.388964705392179,0.388964705392179,132.587469262407,507.501653860905,0.0654325550077785,2.65329770514442,0.893524677789177
6121324070,417917,0.270571151984511,0.609874152952565,0.119554695062924,0,0,0,0,0.011368247635524,0,0,0,0,0,0,0,59.8480610618373,0.155000480526964,0,0,0,0,0,0,0,0,0.187776084756715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.2022058747565,620.595253177613,620.595253177613,212.132828962709,139.9,140,202,202,1514,1514,13,13,11,11,31,31,59,59,-68.3858145515376,-33.1659260656149,9,202,154.591098475101,-1.52227333195224,-3.2953458703915,,,,,1514,893.434050820386,,18.1945401523425,29.9240779210848,0.66257632558179,0.331671239259069,,-0.0275361407410638,,0.133492881887898,-264.31669525737,0.310350032103823,-1.9691466865568,-6.73245967852621,-8.04180193354348,0.0514814763652213,-294.119098237256,0.232514130318013,-1.69278023970162,-6.28188949049559,-7.82098030480493,-198.46329805539,0.482353649241479,,-10.0282451374781,-10.3818619439333,-248.20004449237,-248.20004449237,,-8.43350872448546,-9.67516570594785,-12.3808873116069,-23.3045943954644,0.120456004476951,0.531263797237189,0.531263797237189,132.587469262407,507.58916301388,0.0654325550077785,2.65329770514442,0.893524677789177
6121323790,417921,0.973670886075949,0.000506329113924,0.025822784810127,0,0,0,0,0,0,0,0,0,0,0,0,16.4260660135117,0.088067579683071,0,0,0,0,0,0,0,0,0.018565327870292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.532698921065,619.988468737115,619.988468737115,211.922530182467,135.6,428.5,214,203,1528,1518,14,13,12,11,6,23,0,34,-68.053720481829,-33.1022410745651,10,214,170.665285493261,-1.64439473803141,-2.91896238172726,,,,,1528,891.4831386832,,17.7439799587511,27.3279875305253,0.588822082471298,0.294280464636365,,-0.023342010113164,,0.140124888778974,-377.507019506992,0.261527632762022,-2.48507306699132,-8.13594665186537,-9.29113334035772,0.0498780634987854,-412.432888019424,0.193143671565556,-2.13059233615991,-7.63194819659591,-9.11126003343875,-211.071181865789,0.587461421868125,-5.54923496350888,-17.3320484808521,-15.4865543706557,-288.298276152485,-288.298276152485,,-15.3289103393302,-15.1297341087247,-12.4328234176109,-300.513488485588,0.0242418421708387,0.041371931357441,0.041371931357441,97.9982164394714,671.358670784071,0.184833390804761,0.663420431289062,0.816589087039121
